Species_i,Species_j,cutoff,epsilon,sigma
H,H,2.20943,4.47789,0.552357
He,He,1.99561,0.0009421,0.498903
Li,Li,9.1228,1.04969,2.2807
Be,Be,6.8421,0.572942,1.71053
B,B,6.05811,2.96703,1.51453
C,C,5.41666,6.36953,1.35417
N,N,5.0603,9.75379,1.26508
O,O,4.70395,5.12647,1.17599
F,F,4.0625,1.60592,1.01562
Ne,Ne,4.13377,0.0036471,1.03344
Na,Na,11.8311,0.736745,2.95778
Mg,Mg,10.0493,0.0785788,2.51233
Al,Al,8.6239,2.70067,2.15597
Si,Si,7.91118,3.17431,1.9778
P,P,7.62609,5.0305,1.90652
S,S,7.48355,4.36927,1.87089
Cl,Cl,7.26973,4.48328,1.81743
Ar,Ar,7.55482,0.0123529,1.88871
K,K,14.4682,0.551799,3.61705
Ca,Ca,12.5439,0.132679,3.13596
Sc,Sc,12.1162,1.6508,3.02906
Ti,Ti,11.4035,1.18027,2.85088
V,V,10.9046,2.75249,2.72615
Cr,Cr,9.90679,1.53679,2.4767
Mn,Mn,9.90679,0.599888,2.4767
Fe,Fe,9.40789,1.18442,2.35197
Co,Co,8.98026,1.27769,2.24506
Ni,Ni,8.83772,2.07572,2.20943
Cu,Cu,9.40789,2.04463,2.35197
Zn,Zn,8.69517,0.191546,2.17379
Ga,Ga,8.69517,1.0642,2.17379
Ge,Ge,8.55263,2.70171,2.13816
As,As,8.48136,3.9599,2.12034
Se,Se,8.55263,3.38677,2.13816
Br,Br,8.55263,1.97063,2.13816
Kr,Kr,8.26754,0.0173276,2.06689
Rb,Rb,15.6798,0.468265,3.91995
Sr,Sr,13.898,0.133923,3.47451
Y,Y,13.5417,2.75975,3.38542
Zr,Zr,12.4726,3.05201,3.11815
Nb,Nb,11.6886,5.2782,2.92215
Mo,Mo,10.9759,4.47499,2.74397
Tc,Tc,10.477,3.38159,2.61924
Ru,Ru,10.4057,1.96172,2.60142
Rh,Rh,10.1206,2.40582,2.53015
Pd,Pd,9.90679,1.37097,2.4767
Ag,Ag,10.3344,1.64976,2.58361
Cd,Cd,10.2632,0.0377447,2.56579
In,In,10.1206,0.811314,2.53015
Sn,Sn,9.90679,1.90057,2.4767
Sb,Sb,9.90679,3.08828,2.4767
Te,Te,9.83552,2.63123,2.45888
I,I,9.90679,1.53938,2.4767
Xe,Xe,9.97807,0.023888,2.49452
Cs,Cs,17.3903,0.416642,4.34759
Ba,Ba,15.3235,1.9,3.83086
La,La,14.7533,2.49961,3.68832
Ce,Ce,14.5395,2.57008,3.63487
Pr,Pr,14.4682,1.29946,3.61705
Nd,Nd,14.3257,0.819605,3.58141
Pm,Pm,14.1831,3.24134,3.54578
Sm,Sm,14.1118,0.521122,3.52796
Eu,Eu,14.1118,0.429918,3.52796
Gd,Gd,13.9693,2.09956,3.49232
Tb,Tb,13.8267,1.39999,3.45669
Dy,Dy,13.6842,0.690055,3.42105
Ho,Ho,13.6842,0.690055,3.42105
Er,Er,13.4704,0.738766,3.3676
Tm,Tm,13.5417,0.521122,3.38542
Yb,Yb,13.3278,0.130399,3.33196
Lu,Lu,13.3278,1.43315,3.33196
Hf,Hf,12.4726,3.36086,3.11815
Ta,Ta,12.1162,4.00343,3.02906
W,W,11.546,6.86389,2.88651
Re,Re,10.7621,4.43871,2.69051
Os,Os,10.2632,4.26253,2.56579
Ir,Ir,10.0493,3.70287,2.51233
Pt,Pt,9.69298,3.1401,2.42324
Au,Au,9.69298,2.3058,2.42324
Hg,Hg,9.40789,0.045414,2.35197
Tl,Tl,10.3344,0.577087,2.58361
Pb,Pb,10.4057,0.858988,2.60142
Bi,Bi,10.5482,2.07987,2.63706
Po,Po,9.97807,1.89953,2.49452
At,At,10.6908,1.385442,2.6727
Rn,Rn,10.6908,0.0214992,2.6727
Fr,Fr,18.5307,0.3749778,4.63267
Ra,Ra,15.7511,1.71,3.93777
Ac,Ac,15.3235,2.249649,3.83086
Th,Th,14.682,2.313072,3.6705
Pa,Pa,14.2544,1.169514,3.56359
U,U,13.9693,0.7376445,3.49232
Np,Np,13.5417,2.917206,3.38542
Pu,Pu,13.3278,0.4690098,3.33196
Am,Am,12.8289,0.3869262,3.20724
Cm,Cm,12.045,1.889604,3.01124
Bk,Bk,11.9737,1.259991,2.99342
Cf,Cf,11.9737,0.6210495,2.99342
Es,Es,11.7599,0.6210495,2.93997
Fm,Fm,11.9024,0.6648894,2.9756
Md,Md,12.33,0.4690098,3.08251
No,No,12.5439,0.1173591,3.13596
Lr,Lr,11.4748,1.289835,2.86869
Rf,Rf,11.1897,3.024774,2.79742
Db,Db,10.6195,3.603087,2.65488
Sg,Sg,10.1919,6.177501,2.54797
Bh,Bh,10.0493,3.994839,2.51233
Hs,Hs,9.55043,3.836277,2.38761
Mt,Mt,9.19407,3.332583,2.29852
Ds,Ds,9.1228,2.82609,2.2807
Rg,Rg,8.6239,2.07522,2.15597
Cn,Cn,8.69517,0.0408726,2.17379
Nh,Nh,9.69298,0.5193783,2.42324
Fl,Fl,10.1919,0.7730892,2.54797
Mc,Mc,11.546,1.871883,2.88651
Lv,Lv,12.4726,1.709577,3.11815
Ts,Ts,11.7599,1.2468978,2.93997
Og,Og,11.1897,0.0193493,2.79742
